run,status,t_gap_attempt,t_deadlock,t_force_merge,t_abnormal_loop,t_exit_success,recovery_s,arc_duration_s,c18_after_merge_s,exit_after_c18_s
run0001_C1_20260629_195013.jsonl.gz,ok,2200.567,2273.375,2331.298,2336.298,2421.49,148.11,220.92,5.0,85.19
run0003_C1_20260629_200005.jsonl.gz,ok,149.186,221.993,279.917,284.917,370.109,148.12,220.92,5.0,85.19
run0005_C1_20260629_200959.jsonl.gz,ok,148.408,221.216,279.178,284.178,374.639,153.42,226.23,5.0,90.46
run0007_C1_20260629_201954.jsonl.gz,ok,148.528,221.335,279.258,284.297,369.451,148.12,220.92,5.04,85.15
run0009_C1_20260629_202948.jsonl.gz,ok,148.086,220.893,278.816,283.855,369.009,148.12,220.92,5.04,85.15
run0011_C1_20260629_203941.jsonl.gz,ok,148.295,221.102,279.064,284.102,374.525,153.42,226.23,5.04,90.42
run0013_C1_20260629_204939.jsonl.gz,ok,148.691,221.499,279.461,284.499,374.922,153.42,226.23,5.04,90.42
run0015_C1_20260629_205936.jsonl.gz,ok,148.041,220.848,278.81,283.81,374.271,153.42,226.23,5.0,90.46
run0017_C1_20260629_210934.jsonl.gz,ok,148.248,221.056,278.979,284.018,369.171,148.11,220.92,5.04,85.15
run0019_C1_20260629_211925.jsonl.gz,ok,148.438,221.246,279.169,284.207,369.361,148.11,220.92,5.04,85.15
run0021_C1_20260629_212918.jsonl.gz,ok,148.445,221.252,279.214,284.214,374.675,153.42,226.23,5.0,90.46
run0023_C1_20260629_213916.jsonl.gz,ok,148.375,221.183,279.106,284.144,369.298,148.12,220.92,5.04,85.15
run0025_C1_20260629_214910.jsonl.gz,ok,148.536,221.344,279.306,284.344,374.767,153.42,226.23,5.04,90.42
run0027_C1_20260629_215907.jsonl.gz,ok,148.197,221.005,278.966,283.966,374.428,153.42,226.23,5.0,90.46
run0029_C1_20260629_220906.jsonl.gz,ok,148.444,221.252,279.175,284.213,369.367,148.12,220.92,5.04,85.15
