run_idx,ts,scenario,status,min_ttc,max_jerk,max_yaw,max_lat_accel,brake_delay,recovery,lane_dev,overshoot,rtf,slowmo,latency_med,latency_p95,collisions,completed,n_metric_frames,n_events,duration_s,jsonl
1,2026-06-29T19:57:07,C1,ok,1.204900438744516,49.83947368419621,1.9656,11.9445,13.731000000000222,,1.744,0.3000000000000007,1.0,0,2.753,11.54,0,1,10215,16,410.1,run0001_C1_20260629_195013.jsonl
2,2026-06-29T20:00:00,C2,ok,0.29990820073439417,49.95526315788039,0.98367,10.9531,5.024999999999999,1.2950000000000017,0.881,90.57,1.0001,0,2.223,20.079,23,0,3786,26,164.0,run0002_C2_20260629_195713.jsonl
3,2026-06-29T20:07:02,C1,ok,1.204900438744516,49.96578947368387,1.9656,11.9445,13.730999999999995,,1.744,0.3000000000000007,1.0,0,2.656,10.146,0,1,10165,16,414.1,run0003_C1_20260629_200005.jsonl
4,2026-06-29T20:09:53,C2,ok,2.26488377241532,49.794736842090956,0.49912,10.1758,4.026000000000003,0.2950000000000017,0.916,90.57,0.9999,0,2.146,2.616,0,0,3873,3,162.0,run0004_C2_20260629_200708.jsonl
5,2026-06-29T20:16:58,C1,ok,1.204900438744516,49.9076923077086,1.9656,11.9445,13.730999999999995,,1.737,0.3000000000000007,0.9994,0,2.7,8.148,0,1,10358,16,416.1,run0005_C1_20260629_200959.jsonl
6,2026-06-29T20:19:49,C2,ok,1.8570284510010537,49.40000000000428,0.75399,11.9475,3.7790000000000035,0.047999999999998266,1.657,62.93000000000001,0.9999,0,2.203,9.107,0,0,3882,3,162.0,run0006_C2_20260629_201704.jsonl
7,2026-06-29T20:26:52,C1,ok,1.204900438744516,49.96578947368387,1.9656,11.9445,13.730999999999995,,1.744,0.3000000000000007,0.9999,0,2.699,7.189,0,1,10226,16,414.1,run0007_C1_20260629_201954.jsonl
8,2026-06-29T20:29:42,C2,ok,1.9991729913635174,49.34736842105691,0.48039,10.1784,4.084999999999997,0.3930000000000007,0.795,90.57,0.9991,0,2.192,35.981,0,0,3703,3,162.0,run0008_C2_20260629_202657.jsonl
9,2026-06-29T20:36:43,C1,ok,1.204900438744516,49.73684210532328,1.9656,11.9445,13.730999999999995,,1.744,0.3000000000000007,0.9995,0,2.716,10.0,0,1,10099,16,412.1,run0009_C1_20260629_202948.jsonl
10,2026-06-29T20:39:36,C2,ok,3.3622222222222224,49.96315789472249,0.48249,9.0257,4.289999999999999,0.559000000000001,0.821,46.040000000000006,0.9999,0,2.133,6.291,0,0,3879,3,164.0,run0010_C2_20260629_203649.jsonl
